01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_000.wav|Chủ đề người lính và chiến tranh luôn là nguồn cảm hứng bất tận cho thơ ca thời kỳ kháng chiến.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_001.wav|lại mang một điều hồn vừa bí tráng vừa lãng mạn trong tây tiến.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_002.wav|được tác giả sáng tác vào năm 1948 tại Phú Lưu Tranh.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_003.wav|Người lính Tây tiến hiện lên với một nét vẽ chân dung đầy gân quốc.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_004.wav|không mặc tóc. Đó chính là hậu quả của những trận xốt xét rừng khủng khiếp.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_005.wav|Như chính hữu cũng đã từng khắc họa rất rõ trong đồng chí.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_006.wav|dường như đã khắc họa cho chúng ta rất rõ sự chủ động, tự nguyện và ngang tàn.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_007.wav|Người bộ đội cụ hổ trên đường đi bảo vệ độc lập tự do cho tổ quốc.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_008.wav|Lại nhung nhớ về những ngày hòa bình và vệ đẹp của người thiếu nữa.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_009.wav|những người lính lấy giấc mơ tuổi trẻ làm động lực trên con đường chiến đấu gian nam.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_010.wav|giống người lính vẫn sống, vẫn tồn tại trong đạt bom khắc nghiệt.
01-RADIO VĂN HỌC #1： HÌNH TƯỢNG NGƯỜI LÍNH TRONG ＂TÂY TIẾN＂ VÀ ＂VIỆT BẮC＂_seg_011.wav|đã khẳng định được tinh thần làm chủ quê hương của con người Việt Nam.
